Horizontal,Vertical,Time,Temperature,RPM,Load,Degradation
"[1921150.7536547827, 27.832970270664603, 0.33334865517185724, 6.725543433755217, 0.48624305004265506, -0.54512701503115, 2.047376670798169]","[1919034.1160661378, 27.832970270664603, 0.3410767562050838, 6.750229822626409, 0.4924525818757554, -0.5444326020490432, 2.0470392288700294]",0.19531,25.0,1800.0,4000.0,0.0008044290760036983
"[4384702.65395893, 20.370370370370356, 0.07834433984912631, 55.56503092305448, 0.9407220130785214, -0.5237669500892, 4.254038186298439]","[4378393.569048941, 20.370370370370356, 0.0783443399023606, 55.53739063120518, 0.9396431477756182, -0.5229000541607073, 4.254319551431432]",0.21484,25.0,1800.0,4000.0,0.0008848681240968548
"[4915588.547891851, 20.829643042330236, 0.08336768348260336, 58.327779187986465, 0.7450088448960577, -0.52654868714198, 4.218889098273163]","[4916564.076304247, 20.829643042330236, 0.08336768353492924, 58.30597366421564, 0.7432065107025259, -0.5255517185858036, 4.219046029696188]",0.23438,25.0,1800.0,4000.0,0.0009653484067840917
"[2206347.767040871, 20.829643042330236, 0.061005742870597124, 36.92288408911563, -0.7210577352812462, -0.53207529649815, 2.3920108830885147]","[2199331.0413188697, 20.829643042330236, 0.06100574250517625, 36.789650097418416, -0.7214425618768727, -0.5309435583266753, 2.3912275542685038]",0.25391,25.0,1800.0,4000.0,0.0010457875491599227
"[2402925.060322262, 27.21928127950857, 0.09103150360594205, 31.302259451246755, 0.5227759690940527, -0.52386704638823, 2.707971513808842]","[2400773.7500380715, 27.21928127950857, 0.09103150348606784, 31.16421408327158, 0.5278886199630973, -0.5228979597052308, 2.7085138568133242]",0.27344,25.0,1800.0,4000.0,0.0011262267386650665
"[2238099.916411737, 27.21928127950857, 0.10389991931162137, 26.094475245436012, 0.8937353698956578, -0.53997321698959, 2.441575349036804]","[2241384.346613538, 27.21928127950857, 0.10389991923549707, 26.049417842692197, 0.8996166850138763, -0.540164279083169, 2.4427018096164725]",0.29297,25.0,1800.0,4000.0,0.001206665975299551
"[4223460.681539908, 20.829643042330236, 0.06576361006405915, 69.32415361830377, 0.5753202080184868, -0.5213845496569001, 3.8908904062323297]","[4224305.487602577, 20.829643042330236, 0.06576361006903593, 69.34141418187198, 0.5795640876471384, -0.521821076831258, 3.8908561973365825]",0.3125,25.0,1800.0,4000.0,0.0012871052590634035
"[4880963.471211557, 70.99723687829994, 0.08203939880436018, 54.64722371787255, -0.0048409448853566715, -0.49456864202174006, 4.260612446095109]","[4880266.889536469, 70.99723687829994, 0.08203939880894555, 54.660657594441176, -0.0026262682954671154, -0.4943211231205326, 4.260215990497057]",0.33203,25.0,1800.0,4000.0,0.001367544589956652
"[2569702.81189047, 20.829643042330236, 0.12984865561972841, 33.151070674053315, -0.8865839039332001, -0.52092568198337, 2.950058326481483]","[2563841.3476235084, 20.829643042330236, 0.1298486554512095, 33.131231126466176, -0.8865872646482083, -0.5202278091201595, 2.9487838785723786]",0.35156,25.0,1800.0,4000.0,0.0014479839679793236
"[2115799.75111291, 20.829643042330236, 0.2523301409811813, 11.107658778454862, -0.2526254050934808, -0.5363822904576, 2.461192722418388]","[2118952.4382699677, 20.829643042330236, 0.24762321978500687, 11.155541061656626, -0.2553298393508906, -0.5359375672999744, 2.460175354703956]",0.37109,25.0,1800.0,4000.0,0.0015284233931314457
"[5494526.299952593, 21.299270527843998, 0.05753717176023833, 74.13363935859337, 0.9924545539486145, -0.5168184660688201, 4.435537914334361]","[5488215.44762367, 21.299270527843998, 0.05753717168299391, 74.12839678595792, 0.9948914978067471, -0.5154369497976388, 4.434610123139679]",0.39062,25.0,1800.0,4000.0,0.0016088628654130472
"[4963430.393314212, 27.832970270664603, 0.06273200761786442, 67.1789300799786, 0.8503565518715324, -0.50518725661315, 4.548137492651962]","[4960835.813744966, 27.832970270664603, 0.06273200754204727, 67.2140825121423, 0.8558604852933354, -0.5051942929458964, 4.546399230996051]",0.41016,25.0,1800.0,4000.0,0.0016893435725061762
"[2110779.7149089472, 27.21928127950857, 0.4768247024490141, 15.238653844933555, -0.9452399383401633, -0.50623727099647, 2.4066019666468]","[2115785.283142801, 27.21928127950857, 0.4652843972289623, 15.218794217441733, -0.9418518964345463, -0.5089257389815889, 2.4037223164182273]",0.42969,25.0,1800.0,4000.0,0.0017697831390709495
"[2421536.8832068946, 27.21928127950857, 0.3080322225414874, 54.84553639573953, 2.08176896377025, -0.51940613737539, 2.548819182519056]","[2428673.799532816, 27.21928127950857, 0.2986329473963754, 54.92724337248986, 2.070097975448691, -0.5213633298010993, 2.5482582381444048]",0.44922,25.0,1800.0,4000.0,0.0018502227527652834
"[3561952.4182946743, 21.299270527843998, 0.08824659074391797, 38.25164490012665, 0.35096030124842953, -0.50979996523899, 3.648773451133454]","[3566070.1660251305, 21.299270527843998, 0.0882465908146379, 38.27167491255238, 0.34837931213719664, -0.5110845952302909, 3.649696319309227]",0.46875,25.0,1800.0,4000.0,0.0019306624135892075
"[3679551.929529785, 27.832970270664603, 0.11180209719384415, 36.00362102502818, -0.3563263070943281, -0.48662522432099004, 3.76685870205019]","[3683243.481910744, 27.832970270664603, 0.11180209730057472, 36.00323650145538, -0.3501350597770641, -0.48820947479524857, 3.7671424889530027]",0.48828,25.0,1800.0,4000.0,0.0020111021215427466
"[2467267.2493099435, 24.34793550567121, 0.05213984615624428, 54.58934513024676, 0.022802724934685357, -0.49984056332842003, 2.6791636136033126]","[2475689.50036935, 24.34793550567121, 0.052139845929622855, 54.488179878265925, 0.03362871840996067, -0.501757793001471, 2.6785943780150436]",0.50781,25.0,1800.0,4000.0,0.0020915418766259317
"[2031458.294754543, 27.21928127950857, 0.23645917918632106, 9.78598447791608, 0.04543859613574124, -0.52380080932818, 2.3833055553947387]","[2037706.1242326729, 27.21928127950857, 0.2364591793337191, 9.789948931875728, 0.05243919890065539, -0.5250797512503316, 2.38285699936388]",0.52734,25.0,1800.0,4000.0,0.0021719816788387885
"[5001043.562442323, 28.46049556315417, 0.06812718709760934, 57.23149511624783, 1.3764666907377614, -0.49342353645916004, 4.599825006098127]","[5000195.652171357, 28.46049556315417, 0.06812718725440699, 57.29070593294048, 1.376568337411612, -0.49247280803102433, 4.600803346734686]",0.54688,25.0,1800.0,4000.0,0.002252462716032301
"[5841125.110379676, 70.99723687829994, 0.0882466843195561, 52.77234631143713, 0.9808677842080291, -0.45438152339099, 4.761940834417182]","[5837628.345198517, 70.99723687829994, 0.08824668446591502, 52.82240610030961, 0.9791862914785698, -0.4531404836260173, 4.763004276664949]",0.56641,25.0,1800.0,4000.0,0.002332902612528716
"[2311368.889015804, 25.45821483364418, 0.18824457677284276, 39.47241598855504, -1.3600737314274458, -0.4784966842488201, 2.655918443706611]","[2311593.8141334727, 25.45821483364418, 0.18824457681628656, 39.49556264801005, -1.3642210212141297, -0.4790420179022206, 2.65635847012282]",0.58594,25.0,1800.0,4000.0,0.0024133425561548858
"[2187594.5461543486, 27.21928127950857, 0.08538872981269943, 33.744173027502825, 0.41388195769284, -0.5141094099391801, 2.5366587259999345]","[2197436.6606375575, 27.21928127950857, 0.08538872984753593, 33.7436298198709, 0.4169969663815879, -0.5162521283451249, 2.5372294851342456]",0.60547,25.0,1800.0,4000.0,0.0024937825469108377
"[4562319.974487537, 20.829643042330236, 0.07315254420446413, 62.84851397158937, 1.0063314755057837, -0.49740914198495, 4.222117068960866]","[4571856.873700216, 20.829643042330236, 0.07315254407336944, 62.785261545393084, 1.011944218200217, -0.4989304461304473, 4.222335283388396]",0.625,25.0,1800.0,4000.0,0.0025742225847965997
"[4076214.1564877396, 20.829643042330236, 0.06812717537458715, 81.44698105953753, 1.084054905542364, -0.46513902548374, 3.9052918786435495]","[4074617.6434198353, 20.829643042330236, 0.06812717524129877, 81.32207979675063, 1.0867608756023743, -0.4646400174946667, 3.905966670470961]",0.64453,25.0,1800.0,4000.0,0.0026546626698121987
"[2043799.7718131477, 27.21928127950857, 0.12387623658315584, 26.442629361475074, -0.9993433153511577, -0.48161509333485003, 2.4161953127243176]","[2042251.8876653975, 27.21928127950857, 0.1201067202991635, 26.472706796280573, -1.0052801869117254, -0.4812051426861245, 2.416103372503406]",0.66406,25.0,1800.0,4000.0,0.002735102801957663
"[2270051.37332935, 21.779486287708007, 0.10928596906638371, 27.643597455726734, -0.654874176360361, -0.49307466558953994, 2.728463378785531]","[2268648.1944593634, 21.779486287708007, 0.10928596905602149, 27.66584934453553, -0.6525196540257859, -0.4937477853069215, 2.727001689937262]",0.68359,25.0,1800.0,4000.0,0.0028155429812330214
"[2018012.8397373762, 27.832970270664603, 0.0783441794535295, 32.54055869542621, 0.09301250026442413, -0.48187534737015, 2.3557830709688456]","[2025674.6294414117, 27.832970270664603, 0.07834417944073903, 32.47974025841903, 0.08989605617048875, -0.48389892218261293, 2.354917134780141]",0.70312,25.0,1800.0,4000.0,0.002895983207638298
"[4481595.875823474, 20.829643042330236, 0.09103163597400657, 50.311901446511605, -0.5548148509429217, -0.46601711613669, 4.179333234450834]","[4481091.155873957, 20.829643042330236, 0.09103163612339554, 50.35799976873816, -0.5601806271478692, -0.4658416798729415, 4.179928368964329]",0.72266,25.0,1800.0,4000.0,0.0029764646692416828
"[3855592.404363494, 20.829643042330236, 0.08658153696070645, 50.21008141476295, -0.6242662948703632, -0.46065397484570003, 4.171182580902986]","[3858394.6272802916, 20.829643042330236, 0.08658153711162736, 50.217070351219746, -0.6278301444752956, -0.4607986563287278, 4.172721729334382]",0.74219,25.0,1800.0,4000.0,0.003056904989931016
"[1719159.1085988285, 28.46049556315417, 0.22129626961264567, 7.971282272692413, 0.4789929545661693, -0.48396809707101, 2.194400724153184]","[1726424.0286153716, 28.46049556315417, 0.2212962696059143, 7.953381319529173, 0.4767460529988651, -0.485629574815584, 2.1958997931094313]",0.76172,25.0,1800.0,4000.0,0.0031373453577503525
"[4543608.124823031, 21.299270527843998, 0.05753717176023833, 63.405928984721356, 0.6333689647734991, -0.49442329846457, 4.680602580076144]","[4549649.761037638, 21.299270527843998, 0.0575371719880691, 63.48239351761576, 0.6385703850523855, -0.49615866950337684, 4.6810795943537515]",0.78125,25.0,1800.0,4000.0,0.003217785772699721
"[6028441.389319153, 20.829643042330236, 0.06293336134102703, 59.35634417499236, 0.4241389024487272, -0.4559187962429301, 4.77343035483542]","[6035805.210284656, 20.829643042330236, 0.06293336156376256, 59.381369456635106, 0.42855607163174375, -0.4575591437990002, 4.774999437162421]",0.80078,25.0,1800.0,4000.0,0.003298226234779147
"[1878889.937967422, 27.832970270664603, 0.25266621765951414, 25.57491172037313, -1.1607365473603304, -0.44676652323851, 2.3109831202646878]","[1881862.9044593195, 27.832970270664603, 0.25537107330490916, 25.66442495857411, -1.1607441338873346, -0.44735245180191074, 2.3133863277841376]",0.82031,25.0,1800.0,4000.0,0.0033786667439886595
"[2064015.2754687245, 20.829643042330236, 0.1355987570630904, 51.757151065714034, 1.4024355920645235, -0.4821489280702701, 2.6300089067786256]","[2075122.5656835765, 20.829643042330236, 0.1355987571483146, 51.73575511333597, 1.4028233620846997, -0.48387663560537586, 2.6312955987416973]",0.83984,25.0,1800.0,4000.0,0.0034591073003282856
"[3324107.9394629193, 21.299270527843998, 0.08278815880294597, 49.81566092643164, 0.43060519307845263, -0.47213874949397, 3.526104369390673]","[3322663.993690703, 21.299270527843998, 0.078033487566217, 49.72790913407133, 0.4311994806665812, -0.47252762783144187, 3.5256781774318666]",0.85938,25.0,1800.0,4000.0,0.0035395890920351483
"[3148183.1850589085, 21.299270527843998, 0.07739601388460163, 55.03818861910805, -0.9674082744930506, -0.44125612413017007, 3.3410169619344443]","[3151648.5410188967, 21.299270527843998, 0.0773960136304894, 54.937974361631284, -0.9641684591065957, -0.4416586697023415, 3.3395297168585887]",0.87891,25.0,1800.0,4000.0,0.0036200297426592157
"[2418162.4847617997, 20.829643042330236, 0.09404405784555744, 50.53186854979743, -2.2141603059287616, -0.44996676999542, 2.7456162073766004]","[2415924.5630957833, 20.829643042330236, 0.09826020602302288, 50.4609475498094, -2.209583311863444, -0.4504211492048917, 2.7448388669544075]",0.89844,25.0,1800.0,4000.0,0.0037004704404134817
"[2160118.051893443, 21.299270527843998, 0.10851034989911956, 30.84505176472436, -0.7584488458214566, -0.46125728381363995, 2.714655690690601]","[2154616.6286108484, 41.576870307825104, 0.10851034974285596, 30.804996489453146, -0.7597935518512496, -0.45998579530305184, 2.7139597367147017]",0.91797,25.0,1800.0,4000.0,0.0037809111852979706
"[1877176.434216905, 27.832970270664603, 0.12541619883724411, 11.853895087225169, -0.05965027065177527, -0.46348450724396, 2.3293283993432308]","[1874605.6612890803, 27.832970270664603, 0.1298581404443851, 11.836569950980923, -0.059000695800381024, -0.46271047804533616, 2.329445054719139]",0.9375,25.0,1800.0,4000.0,0.0038613519773127115
"[4887700.737441516, 28.46049556315417, 0.04648909705751745, 79.61217434536245, 0.6009939404561977, -0.44262004670116006, 4.354308177745059]","[4890718.211549156, 28.46049556315417, 0.04648909718074646, 79.61746096462086, 0.6006614294559559, -0.4430570113671119, 4.354714878829532]",0.95703,25.0,1800.0,4000.0,0.0039417928164577325
"[5223206.665035737, 70.99723687829994, 0.06293336134102703, 57.898982147050376, 0.20415770747862283, -0.43029938047308003, 4.786831748023705]","[5223511.0104386555, 70.99723687829994, 0.06293336145566975, 57.908441951204566, 0.20734491423505327, -0.43106280763910676, 4.786770843974881]",0.97656,25.0,1800.0,4000.0,0.00402223370273306
"[2103217.2616102295, 23.286077490589918, 0.09227967137756618, 38.455141049336355, -1.1871646258116282, -0.45630211160305, 2.774008487210283]","[2101777.324147295, 23.286077490589918, 0.09227967112710654, 38.342214062725574, -1.1749640552687897, -0.45603940828137945, 2.7731663816053196]",0.99609,25.0,1800.0,4000.0,0.004102674636138721
"[1824079.5167240337, 20.370370370370356, 0.07315238506430709, 44.731379378498794, -0.4294946062214873, -0.46944087410691, 2.2592534444337815]","[1822589.612251846, 20.370370370370356, 0.0731523851604661, 44.741653128061685, -0.43984820056069523, -0.46875065646398634, 2.2603860382740995]",1.01562,25.0,1800.0,4000.0,0.004183115616674746
"[5190573.396415588, 72.5979486027315, 0.07332000173181195, 58.61930151928445, 0.790357521156167, -0.44065713748856, 4.491081984604754]","[5189506.741332827, 72.5979486027315, 0.073320001832317, 58.61855358197113, 0.7890560773052733, -0.4399808735151714, 4.491033603902746]",1.03516,25.0,1800.0,4000.0,0.0042635978327954585
"[4194567.083188583, 21.299270527843998, 0.06812718709760934, 60.31945375468211, 0.9963313038179032, -0.4239349286987, 4.436578283372232]","[4189918.874860872, 21.299270527843998, 0.06812718720008858, 60.36533295164614, 0.9975888559771807, -0.4235162680423581, 4.435540149463175]",1.05469,25.0,1800.0,4000.0,0.004344038907616422
"[1610409.0435803882, 27.832970270664603, 0.12478892096647709, 32.20499781241357, 1.1161335016556948, -0.43682761732388004, 2.0926102246184715]","[1601574.3769375884, 27.832970270664603, 0.1320339875565045, 32.237076974870426, 1.1299374047431114, -0.43564108807617624, 2.0915754771191253]",1.07422,25.0,1800.0,4000.0,0.0044244800295678306
"[2113132.035634875, 21.779486287708007, 0.062110385942947044, 46.98751449019082, 1.5227433400448744, -0.43617336099185, 2.622301036914816]","[2109335.790445123, 21.779486287708007, 0.062110386182734276, 47.17424970769448, 1.5304782892571784, -0.43494068916197076, 2.6213975190655887]",1.09375,25.0,1800.0,4000.0,0.004504921198649713
"[3520689.770744868, 20.829643042330236, 0.09103161077786176, 48.77581821033297, -0.1473357244310929, -0.43663630713691, 3.828068938595112]","[3519588.1870092703, 20.829643042330236, 0.0910316103414742, 48.664322255058536, -0.14405323885744492, -0.43756956209201137, 3.8266973001684437]",1.11328,25.0,1800.0,4000.0,0.004585362414862093
"[3807513.085830236, 70.99723687829994, 0.08203936252060678, 53.61094247233827, -0.8203673480741258, -0.43567310506239004, 3.7779717593987754]","[3805071.700551658, 70.99723687829994, 0.08203936207488245, 53.429298774463334, -0.8193953254230217, -0.4352218304840929, 3.7765780345752966]",1.13281,25.0,1800.0,4000.0,0.004665803678205004
"[2007992.5064432696, 35.56898559746622, 0.04648896325936748, 60.117650547903565, -0.5269873474875687, -0.43265798067690003, 2.570212471984201]","[2004273.8390481616, 35.56898559746622, 0.04648896306416364, 59.974696787415496, -0.5269204087306176, -0.4315001523417876, 2.5695928176927034]",1.15234,25.0,1800.0,4000.0,0.004746244988678469
"[1895326.8151163352, 21.299270527843998, 0.27306496701412114, 8.570232700502517, -0.15828237454112545, -0.43971161488704, 2.5356441882317906]","[1897534.011783271, 21.299270527843998, 0.275799130908994, 8.561974092822718, -0.16259722948293806, -0.4398131335949571, 2.535422489103356]",1.17188,25.0,1800.0,4000.0,0.0048267275349057545
"[5393425.54289569, 42.51426712343621, 0.06812718709760934, 56.8434542422145, 0.5312013909352553, -0.43302570761893, 4.763292057665216]","[5389040.357962996, 42.51426712343621, 0.06293336148369431, 56.81973488884278, 0.5315048108357746, -0.4317458934621135, 4.764026815231184]",1.19141,25.0,1800.0,4000.0,0.004907168939664547
"[5366627.901581615, 20.829643042330236, 0.07332000173181195, 65.81715287494875, 0.37353687574041405, -0.41410364810005, 4.616802229580161]","[5362118.547284474, 20.829643042330236, 0.06812718723758021, 65.7398201813218, 0.3749815908252631, -0.4129291301884108, 4.6184562603916]",1.21094,25.0,1800.0,4000.0,0.004987610391553977
"[1850631.718647874, 27.21928127950857, 0.3121288688122264, 26.651849944616703, -1.3523560522519553, -0.42593617798223, 2.4666470474331645]","[1854650.9468761685, 27.21928127950857, 0.3121288689372874, 26.589208328673557, -1.3478772006209603, -0.42616834771835443, 2.4694678356351933]",1.23047,25.0,1800.0,4000.0,0.005068051890574073
"[2134642.676353106, 20.370370370370356, 0.07289731037927158, 51.65061753389615, 1.4452801274393603, -0.43830969973821005, 2.675755556041447]","[2139615.8434136943, 20.370370370370356, 0.07289731028783855, 51.38304026531546, 1.4339022068615666, -0.43937494261641247, 2.6776390870842572]",1.25,25.0,1800.0,4000.0,0.005148493436724863
"[3283438.269948687, 20.829643042330236, 0.07175019873005878, 63.804642435833046, 0.5926580511556977, -0.41837817888924994, 3.4840239888456366]","[3285233.454733767, 20.829643042330236, 0.07175019864501765, 63.730149972574864, 0.5865548251631619, -0.41900320057820406, 3.4839671327660304]",1.26953,25.0,1800.0,4000.0,0.0052289350300063755
"[3409262.0263897176, 28.46049556315417, 0.08743048699849312, 45.61781644799746, -0.5886088803103108, -0.40519719902314, 3.786564316058817]","[3408395.1199449627, 28.46049556315417, 0.08743048691889391, 45.600528572279835, -0.5952302657872381, -0.40502749754983325, 3.7862371749425985]",1.28906,25.0,1800.0,4000.0,0.005309376670418636
"[2331976.2737748716, 27.832970270664603, 0.0717501290390877, 37.571932691783914, -1.318750476980549, -0.42213687752364, 2.8892359786385695]","[2334672.57982019, 27.832970270664603, 0.0717501289929175, 37.54347244682442, -1.3236563357587228, -0.4230509474039368, 2.889285500610096]",1.30859,25.0,1800.0,4000.0,0.005389818357961672
"[1691706.4812407074, 41.576870307825104, 0.10160730541422718, 18.214284921818138, -0.13348803986272226, -0.42848030901426, 2.2582598857721132]","[1697847.8640669056, 41.576870307825104, 0.09642057539229382, 18.316310680425204, -0.12631240683215467, -0.4299722272083536, 2.2586081240653]",1.32812,25.0,1800.0,4000.0,0.005470260092635513
"[3473001.5694086826, 20.829643042330236, 0.06293336134102703, 81.73221899385395, 1.536817789782696, -0.40121253233833, 4.267077871512878]","[3477417.8758454267, 20.829643042330236, 0.062933361483614, 81.64525972182027, 1.536818968350815, -0.40198980436384196, 4.2678603368731745]",1.34766,25.0,1800.0,4000.0,0.0055507430632806285
"[5285881.306837696, 70.99723687829994, 0.06812718709760934, 58.96410948202669, 0.8906534243233156, -0.40173696647121004, 4.716491324855138]","[5293149.355703544, 70.99723687829994, 0.0681271872375014, 58.88745073844504, 0.8907993025667877, -0.402873239682727, 4.717553912569407]",1.36719,25.0,1800.0,4000.0,0.005631184892240291
"[2365356.410409995, 27.832970270664603, 0.07331986632492199, 35.52784883546735, -1.062911582648768, -0.4206665671997801, 2.99063031022158]","[2368469.206919326, 27.832970270664603, 0.07331986651135483, 35.41357625195145, -1.0616406087683254, -0.4206430484248984, 2.993120942306097]",1.38672,25.0,1800.0,4000.0,0.005711626768330843
"[1365222.8434356896, 41.576870307825104, 0.23655428656805022, 5.607056129197877, 0.20499425392115064, -0.41859126530985996, 1.9608274372552346]","[1368460.323365667, 41.576870307825104, 0.2400593152483247, 5.591245836240363, 0.19952434365314176, -0.4183384456655181, 1.9632119652812297]",1.40625,25.0,1800.0,4000.0,0.005792068691552309
"[4467413.682354129, 27.832970270664603, 0.07834435822297095, 59.34604963076903, 1.3315339525514354, -0.40300282893074996, 4.521178997316196]","[4466871.609822448, 27.832970270664603, 0.07834435801971831, 59.29007039662613, 1.3292791760062488, -0.403592712319417, 4.520054364064911]",1.42578,25.0,1800.0,4000.0,0.005872510661904718
"[4990637.208866704, 20.829643042330236, 0.07834435822297095, 60.23687274961826, 1.2795251551259128, -0.39098320145327, 4.505111566815523]","[4990454.752329209, 20.829643042330236, 0.07834435801971831, 60.16467859389423, 1.27747385242633, -0.3912845568925752, 4.504217373606599]",1.44531,25.0,1800.0,4000.0,0.005952952679388096
"[1482062.031495492, 20.829643042330236, 0.17581068425084173, 24.059761149256946, 0.3780752517959126, -0.39219804339228, 2.0434618418818564]","[1479074.8712345082, 20.829643042330236, 0.162887287899097, 24.030712196316426, 0.38334055725789945, -0.39054943016640525, 2.0449343802549946]",1.46484,25.0,1800.0,4000.0,0.006033394744002471
"[2023253.4442008445, 27.21928127950857, 0.09787613363109811, 32.50809911099823, 0.32179126954200865, -0.40077634925757, 2.6797883869938137]","[2019603.2231120511, 27.21928127950857, 0.09312450749364479, 32.52888062069179, 0.3232124382825663, -0.4002244525616315, 2.6818178904930305]",1.48438,25.0,1800.0,4000.0,0.006113878044757255
"[2239570.7230738634, 20.370370370370356, 0.10705348486620408, 33.19845484535355, 0.39286543224184794, -0.41179355671232004, 2.8200810771039424]","[2243789.4352970524, 20.370370370370356, 0.10251540212503232, 33.272200657123996, 0.4043744362840797, -0.41216089765194525, 2.8218556202575518]",1.50391,25.0,1800.0,4000.0,0.006194320203657839
"[2777101.380715876, 70.99723687829994, 0.11051850729437876, 58.177167329775074, -0.9669474810463893, -0.39516423221577995, 3.2129761270010175]","[2772495.1570691024, 70.99723687829994, 0.11051850714505568, 58.06800807078119, -0.9487151332590209, -0.39326626603106674, 3.2129204788032775]",1.52344,25.0,1800.0,4000.0,0.006274762409689505
"[3204803.9857828235, 23.286077490589918, 0.14652261844126327, 45.36035875807002, -1.191434102957156, -0.39148551185941993, 3.5553053227185654]","[3201852.9447594336, 23.286077490589918, 0.14652261830377428, 45.21857595890558, -1.1799130850272408, -0.39045348706573996, 3.554985133820561]",1.54297,25.0,1800.0,4000.0,0.006355204662852279
"[2235641.139017928, 21.299270527843998, 0.09787613770310423, 26.750485835646995, -0.24046324394279633, -0.40567376445878, 2.9519303565099806]","[2233004.358012692, 21.299270527843998, 0.09787613747843707, 26.638427761082266, -0.23427305463854883, -0.404890032281298, 2.9520392470067476]",1.5625,25.0,1800.0,4000.0,0.006435646963146189
"[1941903.9095903148, 41.576870307825104, 0.20331360927706432, 10.934204692358326, 0.166266397532715, -0.40108636186481, 2.5651032781536722]","[1936311.1775182658, 41.576870307825104, 0.19546978269125465, 10.902187407870292, 0.1702210165843807, -0.39944484248028256, 2.564718633734818]",1.58203,25.0,1800.0,4000.0,0.0065160893105712615
"[5689827.785434388, 21.299270527843998, 0.06812718709760934, 56.920473399423564, 0.357393741453392, -0.38050071880396, 4.834754149062006]","[5691458.493882757, 21.299270527843998, 0.06812718726085326, 56.85561802327104, 0.3553772385954256, -0.37961444236457464, 4.83653318510849]",1.60156,25.0,1800.0,4000.0,0.006596531705127525
"[4697335.551465013, 23.811088024719595, 0.06293336134102703, 64.07947745942714, 0.42133840901550124, -0.38324040309648, 4.688205791640145]","[4698537.729065549, 23.811088024719595, 0.06293336150741563, 63.998361225028845, 0.41952631390661543, -0.3836293383066339, 4.690138849955985]",1.62109,25.0,1800.0,4000.0,0.006676974146815007
