Horizontal,Vertical,Time,Temperature,RPM,Load,Degradation
"[108608.26766163197, 21.299270527843998, 0.43084975265293807, 1.2230597265009795, -0.17649865082288724, -0.012706198512509998, 0.6737313998132186]","[108587.69715387901, 21.299270527843998, 0.4287831315379448, 1.2142463690951173, -0.17553862188740474, -0.012195619328242827, 0.6737695279982979]",0.19531,25.0,1800.0,4000.0,0.0009546431344217894
"[116324.14170030446, 21.299270527843998, 0.13327853703239495, 4.4496549703378685, -0.010272725259882622, -0.011678252988589996, 0.7130583548744431]","[116229.45146522333, 21.299270527843998, 0.1332785370489697, 4.459682256021426, -0.010725598197069456, -0.011301778214894536, 0.7130216048769604]",0.21484,25.0,1800.0,4000.0,0.0010501028676564977
"[163183.43209727696, 21.299270527843998, 0.05753686633811804, 23.098598066197194, 0.503378935555426, -0.003439838039910007, 0.8521228858885641]","[163021.89801078444, 21.299270527843998, 0.05753686627785963, 23.06673574822495, 0.5067918550408652, -0.003530398976553922, 0.8517436833402656]",0.23438,25.0,1800.0,4000.0,0.0011456115353756919
"[162010.2598065872, 70.99723687829994, 0.046488776102292614, 26.14029114091032, 0.5318472133701874, 0.0008258713018999959, 0.8094888854673052]","[161863.18567002143, 70.99723687829994, 0.04648877603896953, 26.078383469564702, 0.5358000211581686, 0.0007750355690334496, 0.8092118586104587]",0.25391,25.0,1800.0,4000.0,0.0012410713804988322
"[103803.8663372833, 21.299270527843998, 0.7317730793612116, 0.12062643692784203, 0.030692359401468635, -0.0006614174124099943, 0.642030304602108]","[103880.90236226779, 21.299270527843998, 0.7265354597619154, 0.11705938240573888, 0.028973110705866566, -0.0006693320586195117, 0.64204914287802]",0.27344,25.0,1800.0,4000.0,0.0013365312815519187
"[101939.3945184177, 21.299270527843998, 0.7111106118794114, 0.13819898053858815, 0.04861637952817096, -0.007400521605139995, 0.6491888641861681]","[102127.41884230539, 21.299270527843998, 0.7112628046017595, 0.1350544931954034, 0.04682206945770755, -0.007491105093237021, 0.6494551890329442]",0.29297,25.0,1800.0,4000.0,0.0014319912385349842
"[99120.6674621314, 21.299270527843998, 0.745858329608772, 0.1113589779515447, 0.05785768834768151, -0.0049389232301699955, 0.6451823490089028]","[99215.53408505816, 21.299270527843998, 0.7455891454135637, 0.10974490621183586, 0.05674951366050908, -0.005128386635979582, 0.6454536820967038]",0.3125,25.0,1800.0,4000.0,0.0015274512514480616
"[100060.16294373324, 21.299270527843998, 0.5495150205538356, 0.5301404016635378, 0.06426122497931099, 0.0015427739320499998, 0.6560051915968789]","[100160.5819573171, 21.299270527843998, 0.5499179038809227, 0.5313611562980762, 0.06152113903066201, 0.0014398429833692129, 0.6560895384107378]",0.33203,25.0,1800.0,4000.0,0.0016229113202911834
"[93794.70226607138, 31.816834487148164, 0.5714048171152598, 0.3541839530580706, 0.03730180344641717, -0.002204390370300001, 0.6636174713905102]","[93797.31762565485, 31.816834487148164, 0.5692728415403895, 0.35885064550053647, 0.03531882850084918, -0.002022958905925036, 0.6635137419307855]",0.35156,25.0,1800.0,4000.0,0.0017183714450643827
"[96509.1353253196, 63.507780636922014, 0.7947658743270261, 0.045544743736710025, -0.02653984604389472, -0.01236291801418, 0.6601099033526924]","[96558.14689487968, 63.507780636922014, 0.7947658743281577, 0.04673166478428703, -0.026027075502472217, -0.01236352201669329, 0.6600647200881963]",0.37109,25.0,1800.0,4000.0,0.0018138316257676917
"[104210.12250811275, 21.299270527843998, 0.5715097265472158, 0.4270225746050653, -0.05397619280010702, -0.009550680822289999, 0.6486714862535616]","[104160.47347413877, 21.299270527843998, 0.573084535201869, 0.42222794053601165, -0.0534968744674806, -0.009892012061738729, 0.6487713460314711]",0.39062,25.0,1800.0,4000.0,0.0019092918624011442
"[111852.91964715169, 21.299270527843998, 0.6101534008051491, 0.46495647133634943, -0.002886409787113845, 0.0045318546249, 0.6700405290628318]","[111801.39032037089, 21.299270527843998, 0.6125150014894283, 0.4677141351992393, -0.0024342656594316643, 0.004391205237511178, 0.670191585455492]",0.41016,25.0,1800.0,4000.0,0.0020048010337771344
"[112929.69213507745, 21.299270527843998, 0.3832309842378164, 1.911433755708721, 0.09756108905291655, 0.004723457437629994, 0.6863650962795431]","[113016.38687777572, 21.299270527843998, 0.38086923172125775, 1.9077684528560832, 0.09434000008999069, 0.004617100355936455, 0.6865999898987384]",0.42969,25.0,1800.0,4000.0,0.002100261382299609
"[118027.93361777905, 21.299270527843998, 0.3538366347503994, 5.570461353418905, 0.37161232828987134, -0.008986370333240004, 0.7160099595038332]","[118040.31436945843, 21.299270527843998, 0.35162818879309554, 5.54862342077222, 0.36731325791559577, -0.009347129061935843, 0.7160162031002328]",0.44922,25.0,1800.0,4000.0,0.002195721786752324
"[115446.67849532257, 63.507780636922014, 0.16567007569759498, 5.153029895905201, 0.07507396238072427, -0.009680076275540002, 0.7411945610982656]","[115501.0461975768, 63.507780636922014, 0.16567007570897527, 5.150778051925711, 0.07268235878555285, -0.009411465250579391, 0.7411649046589043]",0.46875,25.0,1800.0,4000.0,0.0022911822471353145
"[112381.52048821426, 21.299270527843998, 0.6887536874171567, 2.5732650791727245, -0.1951750820881283, 0.0054462979321600056, 0.6691604349773576]","[112294.25130933337, 21.299270527843998, 0.6902291172205699, 2.593764608745264, -0.1953183537566797, 0.005929313549245572, 0.6690912565486191]",0.48828,25.0,1800.0,4000.0,0.00238664276344861
"[107164.85969952257, 21.299270527843998, 0.47757388028104975, 1.3652959964231197, 0.09180194789998357, 0.0017084123049500022, 0.6596266225879455]","[107222.91123779588, 21.299270527843998, 0.48329601423233104, 1.369943051218872, 0.09011566102533285, 0.0016652218681168884, 0.659861881167072]",0.50781,25.0,1800.0,4000.0,0.002482103335692246
"[109754.91891345227, 21.299270527843998, 0.5015309980529412, 1.357534713232404, 0.05249576389737, -0.008762840830819997, 0.6797993979066254]","[109830.33984345048, 21.299270527843998, 0.501530998058392, 1.356208445889937, 0.05065939730839548, -0.008982361993925797, 0.6801376594238165]",0.52734,25.0,1800.0,4000.0,0.0025775639638662543
"[105108.44997685969, 31.816834487148164, 0.7268058134094224, 0.06378805328752923, 0.0639471558860007, -0.006551376516949998, 0.662478799266016]","[105087.72439154962, 31.816834487148164, 0.7344982080165292, 0.05912906590113076, 0.06500475181145446, -0.006593717254156762, 0.6624554068915826]",0.54688,25.0,1800.0,4000.0,0.0026730735269835113
"[111091.77509225994, 21.299270527843998, 0.8212988299063788, -0.21893950315598243, 0.019411613917403436, 0.002532208686679997, 0.6658207794978501]","[111050.84843914656, 21.299270527843998, 0.8231544043741653, -0.22310857840836817, 0.020014124340857704, 0.002553533827612389, 0.6655491591243724]",0.56641,25.0,1800.0,4000.0,0.002768534267047
"[125566.75463543546, 21.299270527843998, 0.14056171885539315, 3.5010677576235887, -0.22355179637611108, 0.0023747150641000004, 0.7001314467821297]","[125643.21254039361, 21.299270527843998, 0.14447128379325297, 3.4826003909019523, -0.22222895784565722, 0.002437897169861939, 0.6999262054060736]",0.58594,25.0,1800.0,4000.0,0.00286399506304096
"[112709.16988914879, 31.816834487148164, 0.16978582320274282, 3.063620211755537, -0.12540798458205246, -0.00974008894182, 0.729035149337976]","[112748.29164852468, 31.816834487148164, 0.17350154410182944, 3.046089325490577, -0.1251680147977868, -0.00983638459990179, 0.7289372980020475]",0.60547,25.0,1800.0,4000.0,0.002959455914965423
"[101729.42646248046, 31.816834487148164, 0.6233484276536807, 1.4032900440917517, 0.25848831100952585, -0.00852527748466, 0.689654026803755]","[101760.32127434872, 31.816834487148164, 0.6233484276601918, 1.4086899666975734, 0.2588666262744051, -0.008824391654612579, 0.6897288852599587]",0.625,25.0,1800.0,4000.0,0.003054916822820423
"[143493.51145358672, 21.299270527843998, 0.09803905524650301, 16.39174963972196, 0.06655090817714822, 0.0053818227230400025, 0.815022496642408]","[143578.30879624453, 21.299270527843998, 0.10200946851976772, 16.334277793619517, 0.0670865539432961, 0.0055416696465279995, 0.8151661712562287]",0.64453,25.0,1800.0,4000.0,0.00315037778660599
"[145436.42778341292, 21.299270527843998, 0.10979190034821294, 18.572289693457773, 0.009102315313640221, 0.001172785236750001, 0.7849541338428668]","[145527.2472982085, 21.299270527843998, 0.11360893548690751, 18.49518025252914, 0.007823784798951476, 0.0012770095899852264, 0.7851443657078445]",0.66406,25.0,1800.0,4000.0,0.00324583880632216
"[95096.20331985709, 21.299270527843998, 0.3894058148252346, 1.4099683747728928, -0.0394647344114711, -0.0064759461309400025, 0.6441508964716762]","[95106.53657567143, 21.299270527843998, 0.3955145228456163, 1.408875218857597, -0.040347761605593904, -0.006410985323732249, 0.644224194905529]",0.68359,25.0,1800.0,4000.0,0.0033412998819689647
"[103912.25953033431, 21.299270527843998, 0.4052368413122259, 1.345408763623472, -0.07374232089414245, -0.007109505286820006, 0.659864097035932]","[103898.34401582055, 21.299270527843998, 0.4052368413246445, 1.349524134206085, -0.07332210336606407, -0.006992859705393918, 0.6596058929331726]",0.70312,25.0,1800.0,4000.0,0.0034367610135464352
"[96462.7810627264, 21.299270527843998, 0.6311747285478785, 0.5350302061092189, 0.01654426665298761, 0.0022904205561099984, 0.6243321887446891]","[96548.91531526188, 21.299270527843998, 0.6331484390765962, 0.535810461922464, 0.016611360750504643, 0.0019717572491627566, 0.6245286195474065]",0.72266,25.0,1800.0,4000.0,0.0035322710803252105
"[82958.85303702066, 21.299270527843998, 0.7267706322924427, 0.28209804743200495, -0.026953178132271518, -0.001595356910929997, 0.6204410223630366]","[82919.30486438113, 21.299270527843998, 0.7246971563530678, 0.27979251983342257, -0.02827282312448816, -0.0017457565727604107, 0.6206801269071882]",0.74219,25.0,1800.0,4000.0,0.0036277323237927533
"[83157.53156415575, 35.56898559746622, 0.6634306129810117, 0.2264218736674808, 0.027972768725340477, -0.01161067472713999, 0.6246660284968224]","[83081.52907570767, 35.56898559746622, 0.6622124417733943, 0.22107386123459438, 0.02554149123664172, -0.011541772110604651, 0.624681546605056]",0.76172,25.0,1800.0,4000.0,0.003723193623191061
"[133299.77068534005, 36.370927965583945, 0.102626609101895, 8.697293079711752, -0.24221690146904373, -0.004796975351089993, 0.7798621084451429]","[133268.2279969943, 36.370927965583945, 0.10262660908416714, 8.683823359877845, -0.24667332307965772, -0.00501215110790765, 0.7799013614765566]",0.78125,25.0,1800.0,4000.0,0.003818654978520168
"[132391.02378792237, 24.34793550567121, 0.09312437000257529, 8.896131884791592, -0.2600021635876773, 0.007301216046579995, 0.7747384374205943]","[132441.8717706258, 34.78472525171508, 0.09312436998433882, 8.883229237503512, -0.26451849788328224, 0.007096323799259647, 0.7748062534844767]",0.80078,25.0,1800.0,4000.0,0.003914116389780105
"[96836.45096137414, 21.299270527843998, 0.6395201047383459, 0.3536344837358625, 0.016782311015187658, 0.002682075750389995, 0.6512837483936418]","[96885.16778975389, 21.299270527843998, 0.6395201047432405, 0.36004578049408575, 0.01409477365503893, 0.002899953577740761, 0.6514304675861576]",0.82031,25.0,1800.0,4000.0,0.004009577856970907
"[118918.69747597034, 31.816834487148164, 0.10726485459837123, 7.345378881277734, 0.062093974760433074, -0.0136819652056, 0.7299183655658016]","[118938.75945558841, 31.816834487148164, 0.10726485457935718, 7.333685484386244, 0.05946344045248295, -0.013458064532953722, 0.7299781264894987]",0.83984,25.0,1800.0,4000.0,0.0041050393800926045
"[125800.88952436944, 21.299270527843998, 0.09299903596393175, 6.616472630157455, 0.1662732088847312, -0.011594897321579999, 0.7580513194285355]","[125823.55931170553, 21.299270527843998, 0.0929990359440814, 6.603966442538171, 0.16528229525688837, -0.011545177634263664, 0.7581233221557532]",0.85938,25.0,1800.0,4000.0,0.004200549838616319
"[109077.91706006402, 21.299270527843998, 0.34044107437681737, 1.7170054725703832, 0.0268255859576417, 0.002460076436839997, 0.6947488838563026]","[109062.67262911359, 21.299270527843998, 0.3404410743713322, 1.7087325740482964, 0.028736166713802844, 0.002453242360050491, 0.6946908323720485]",0.87891,25.0,1800.0,4000.0,0.004296011473628546
"[103828.13378086913, 21.299270527843998, 0.5749073416489108, 1.450007088619758, -0.07194814571958343, 0.00535322465137, 0.6401335107802859]","[103685.33205403113, 21.299270527843998, 0.5737516867643999, 1.4372121395958608, -0.06855017381496635, 0.005339963018635491, 0.6399739530920481]",0.89844,25.0,1800.0,4000.0,0.004391473164571769
"[105547.61338292292, 21.299270527843998, 0.6219337535874572, 0.2745416442958901, 0.04029505042368139, -0.0021491145835099974, 0.6525624982933474]","[105555.84748731613, 21.299270527843998, 0.6153270804903227, 0.27032755183914237, 0.04040514819750674, -0.0018213481482374227, 0.6527850074398096]",0.91797,25.0,1800.0,4000.0,0.00448693491144602
"[101684.97972774337, 21.299270527843998, 0.6572655701202504, 0.2832617691550512, 0.057078970600780855, -0.003315417224579995, 0.6471794222110733]","[101792.23080471184, 21.299270527843998, 0.6537371057765945, 0.28268670617924485, 0.05587839239642495, -0.00304029658686587, 0.6474153561774942]",0.9375,25.0,1800.0,4000.0,0.004582396714251331
"[97305.88950045561, 21.299270527843998, 0.7335465711892231, 0.3084886616100988, 0.04779705568778976, 0.0039812914502, 0.6435794002541166]","[97355.95751284766, 21.299270527843998, 0.7308821179901069, 0.3149981214595239, 0.046823761136244105, 0.0039728074640869495, 0.643731730053559]",0.95703,25.0,1800.0,4000.0,0.004677858572987735
"[100624.73242297757, 21.299270527843998, 0.7585359065603579, 0.12221546608718681, 0.010806152897978469, 0.00476840597364, 0.644494099573265]","[100640.45622112704, 21.299270527843998, 0.7550559912180796, 0.12866658485019222, 0.008878447386671038, 0.004811855294087936, 0.6447126745068146]",0.97656,25.0,1800.0,4000.0,0.004773320487655265
"[107837.19175689013, 21.299270527843998, 0.6647876751425059, 2.16472606950785, -0.23756045649522706, -0.0009723627642599988, 0.6810991479270304]","[108020.41016890362, 21.299270527843998, 0.6667526317476807, 2.1733514987917664, -0.23814934607906285, -0.0009109692251573472, 0.681487477873552]",0.99609,25.0,1800.0,4000.0,0.004868782458253954
"[108074.00539185463, 21.299270527843998, 0.2866516602834196, 2.8205440476510084, 0.005412000933439068, -0.013923357072119995, 0.7170098085635309]","[108185.75011917812, 21.299270527843998, 0.2827830244103317, 2.828579975076841, 0.006087760625567632, -0.013973332924397102, 0.7172330313325712]",1.01562,25.0,1800.0,4000.0,0.004964244484783835
"[111024.55621381564, 21.299270527843998, 0.47682465171210753, 4.862444613706358, 0.6827165090350596, -0.007841161132370001, 0.6980153104542295]","[110918.90004856559, 21.299270527843998, 0.46861881686640694, 4.879502814228023, 0.683227936096738, -0.007884443768396294, 0.6976906696489407]",1.03516,25.0,1800.0,4000.0,0.005059755446973789
"[115509.14096586555, 21.299270527843998, 0.4598070567411562, 4.6604125037471125, 0.4952641461448063, 0.009466744212499994, 0.6960363795620951]","[115474.17189633055, 21.299270527843998, 0.4545447516838139, 4.672932401293174, 0.49620306122974966, 0.009463451419590136, 0.696002696584308]",1.05469,25.0,1800.0,4000.0,0.005155217585394788
"[108971.35247096678, 21.299270527843998, 0.44764846939386727, 1.3689262178930734, 0.07844702003004284, 0.007563201450960003, 0.6554523166599073]","[109077.62418258312, 21.299270527843998, 0.4427761807225955, 1.3764072621892334, 0.07960667895940417, 0.007690431534261705, 0.65580180721609]",1.07422,25.0,1800.0,4000.0,0.005250679779747079
"[93753.65793255139, 21.299270527843998, 0.7650477084486033, 0.07867050369721396, -0.09936157651061309, -0.007500209447379996, 0.6197987798085681]","[93734.81669033169, 21.299270527843998, 0.7602984812704174, 0.08011708540938356, -0.09950020406989651, -0.0072247110159887225, 0.619948859895081]",1.09375,25.0,1800.0,4000.0,0.005346142030030694
"[97014.56486798506, 21.299270527843998, 0.7396422521514183, 0.005030173697320173, -0.07466337037952471, -0.00451730437734, 0.6456607577300194]","[97016.46146863166, 21.299270527843998, 0.7437393054856325, 0.004735312967528493, -0.07390257130788803, -0.004383719946601877, 0.6458102581944628]",1.11328,25.0,1800.0,4000.0,0.00544160433624566
"[102223.92772372514, 21.299270527843998, 0.7162516173092253, 0.8833088614319555, -0.22446401721994147, 0.007397307030520002, 0.6685641014099414]","[102235.28633330874, 21.299270527843998, 0.7162094423730628, 0.8865316071004186, -0.2238954707633841, 0.007369843972451938, 0.6686192278957772]",1.13281,25.0,1800.0,4000.0,0.005537066698392017
"[93843.14029116921, 21.299270527843998, 0.7256159419935143, 1.0435762122987704, -0.28053421895144526, 0.003464916718460003, 0.6630617384271787]","[93890.82228026117, 21.299270527843998, 0.725648135901309, 1.043931955811483, -0.2802929856900841, 0.0033612251523537973, 0.6631205452113377]",1.15234,25.0,1800.0,4000.0,0.005632529116469794
"[85611.13205612876, 21.299270527843998, 0.7664736759468983, 0.10184301434542142, -0.11831614571618304, -0.006491741825609998, 0.6274905679763846]","[85802.0973399505, 21.299270527843998, 0.7638543131886603, 0.10359442200575364, -0.11931883899586032, -0.006551929096567074, 0.6277854329800046]",1.17188,25.0,1800.0,4000.0,0.00572804047040836
"[98055.52412320179, 21.299270527843998, 0.6489370632133723, 0.2870321863604004, -0.025466913395361692, -0.00692608989899999, 0.6531653765993106]","[98297.04579153324, 21.299270527843998, 0.6522192491207206, 0.28840157905267416, -0.02309729304100934, -0.00661439108610352, 0.6533267062579113]",1.19141,25.0,1800.0,4000.0,0.005823503000377717
"[102196.40580417319, 21.299270527843998, 0.6353081910604741, 0.23611353148723024, 0.018671349231910103, 0.008913577887810007, 0.6538093054217425]","[102209.74339001824, 21.299270527843998, 0.6385447334330099, 0.23516518347100757, 0.02252921259900286, 0.009339158203330438, 0.6536132910693256]",1.21094,25.0,1800.0,4000.0,0.0059189655862785925
"[111069.11749959397, 21.299270527843998, 0.6984647657826717, 5.383351509626886, 0.6604267607133112, 0.0071485568454100045, 0.6882170103746817]","[110942.72613512902, 21.299270527843998, 0.697957045873976, 5.384750727424381, 0.6625973393300516, 0.007079115258375163, 0.6880179913025312]",1.23047,25.0,1800.0,4000.0,0.006014428228111021
"[128629.53380596514, 70.99723687829994, 0.17623657824749767, 6.083708195077795, 0.5145067211670492, -0.007831772722569996, 0.7725747242068164]","[128598.25184423693, 70.99723687829994, 0.1762365782869627, 6.081194213140172, 0.512566634094226, -0.007917097235274059, 0.7727212763999688]",1.25,25.0,1800.0,4000.0,0.0061098909258750335
"[117393.25170482056, 21.299270527843998, 0.14705636791662624, 3.6666689912804156, 0.04961012591081134, -0.004755727311669995, 0.7211861809969954]","[117344.49363404905, 21.299270527843998, 0.14240332537967104, 3.668493479481116, 0.04699831197795412, -0.004616408496800767, 0.7214557486853252]",1.26953,25.0,1800.0,4000.0,0.006205353679570665
"[108066.3549121277, 21.299270527843998, 0.7054052954473071, 0.29706826011477716, -0.014511404479883989, 0.012853320422089998, 0.6494478073088181]","[108240.80112091485, 21.299270527843998, 0.7037585164144227, 0.3025817736471579, -0.014303683705236074, 0.013156032812080448, 0.6497010471327571]",1.28906,25.0,1800.0,4000.0,0.006300816489197946
"[100748.79346140184, 21.299270527843998, 0.6485055669336297, 0.5850674324108067, -0.0751243371849617, 0.0053972526355100005, 0.6233000298796283]","[100898.06475313714, 21.299270527843998, 0.6511996735288403, 0.5930602740548547, -0.07428406999897062, 0.005551761703012259, 0.6234061430554071]",1.30859,25.0,1800.0,4000.0,0.006396279354756909
"[94113.42694885093, 21.299270527843998, 0.70381113724862, 0.008096331642568178, 0.07639686627325368, -0.00486542539345, 0.6327011337252513]","[94119.2132842852, 21.299270527843998, 0.7023889907182297, 0.010401914562012227, 0.07861773466632409, -0.005099288759880486, 0.6327020242322511]",1.32812,25.0,1800.0,4000.0,0.00649174227624759
"[106699.40461845041, 21.299270527843998, 0.7858256471153497, -0.09200831850453639, 0.18439072938317658, -0.0015548343395400013, 0.6635028730353056]","[106755.41564683507, 21.299270527843998, 0.7871705521041399, -0.09181687392973892, 0.18398409867307355, -0.0019036614748941562, 0.6635802575913081]",1.34766,25.0,1800.0,4000.0,0.006587254133857118
"[96791.21945932548, 21.299270527843998, 0.7643305223253899, 0.14352171791908308, -0.011729408879842841, 0.005088087423700003, 0.6436447271291142]","[96768.0951943024, 21.299270527843998, 0.764150259648934, 0.13807992723494644, -0.014621330721837368, 0.004964267854218657, 0.64354169544483]",1.36719,25.0,1800.0,4000.0,0.006682717167239965
"[92803.83816163162, 21.299270527843998, 0.6657336478033731, 1.391145179084888, -0.338151147677704, 0.0035229358717499995, 0.6375107641106351]","[92724.26366170585, 21.299270527843998, 0.6647511838753493, 1.3900478829376333, -0.3412046235192578, 0.003596264499466551, 0.6372957545864184]",1.38672,25.0,1800.0,4000.0,0.00677818025655463
"[92275.48023155489, 63.507780636922014, 0.6734930288449996, 1.2152625624399853, -0.3089049206746863, -0.004235493577719993, 0.6397243360130322]","[92201.62797420654, 63.507780636922014, 0.674515299384737, 1.2166158280620287, -0.31091015834469615, -0.004320306827093352, 0.6396415553287245]",1.40625,25.0,1800.0,4000.0,0.0068736434018011406
"[107043.77787566886, 63.507780636922014, 0.699630933791869, 0.6984483221446292, 0.03628370130439489, 0.0006627995007700065, 0.6771717690073701]","[107045.00587123129, 63.507780636922014, 0.6953072034540729, 0.70330838191652, 0.0376516711164476, 0.000715268113436621, 0.6773923986690269]",1.42578,25.0,1800.0,4000.0,0.006969106602979531
"[118679.21378400394, 21.299270527843998, 0.7080084921114131, 0.8556176810663403, 0.19377076848779587, 0.013342450476300009, 0.676752800031896]","[118703.20286414275, 21.299270527843998, 0.7063127362489159, 0.8610306293142478, 0.19521502847057387, 0.013353114794592096, 0.6770299917645731]",1.44531,25.0,1800.0,4000.0,0.007064569860089834
"[109207.872313159, 21.299270527843998, 0.608880684490018, 0.4409718718697926, 0.12758146410472057, 0.0031058161399800106, 0.6415989136908502]","[109057.79159143264, 21.299270527843998, 0.6132206716779786, 0.4407864830854451, 0.12744672425031098, 0.00320817766624193, 0.6414940518082253]",1.46484,25.0,1800.0,4000.0,0.007160033173132081
"[97218.30839885982, 21.299270527843998, 0.6184089285309984, 0.5244281791667342, -0.11616192244734719, -0.007863144642589998, 0.6439081206738451]","[97019.06118269647, 21.299270527843998, 0.6097545759240565, 0.5244735073404216, -0.11687777881001497, -0.00790981728708274, 0.643691679890511]",1.48438,25.0,1800.0,4000.0,0.007255545422493894
"[104698.41730251818, 21.299270527843998, 0.5140246349701945, 0.9147036887701603, -0.05142630588919215, -0.006160605296320001, 0.6705922576012252]","[104623.61121441328, 21.299270527843998, 0.515418360168721, 0.9205788342915713, -0.05266999667561802, -0.006606596026380387, 0.6705749953165988]",1.50391,25.0,1800.0,4000.0,0.00735100884742877
"[111164.49841219083, 21.299270527843998, 0.5673177969785911, 0.5056063960398003, 0.057336816857465396, 0.005414901626659997, 0.7020352786964885]","[111199.05029583107, 21.299270527843998, 0.5722976078066017, 0.5087811136273506, 0.05555579383929596, 0.005265920773159861, 0.7023919584597377]",1.52344,25.0,1800.0,4000.0,0.007446472328295689
"[98036.50478677383, 21.299270527843998, 0.8554090456033421, -0.12290769035419391, 0.07186505590143868, 0.003253104439179995, 0.6552947627307079]","[98095.79730730642, 21.299270527843998, 0.8562377088758246, -0.12372089560982324, 0.06979488159869227, 0.0034051693418053627, 0.6555908023230139]",1.54297,25.0,1800.0,4000.0,0.007541935865094686
"[91298.48092944975, 21.299270527843998, 0.6976263363400302, 0.18912279803330234, -0.06366475997122507, -0.006562075646299997, 0.6312429988899129]","[91350.54975643223, 21.299270527843998, 0.7028098717840354, 0.1876800572774049, -0.06550005690365285, -0.006358565443968933, 0.6314968484110828]",1.5625,25.0,1800.0,4000.0,0.007637399457825792
"[91743.00891012723, 63.507780636922014, 0.6906354538135804, 0.288607922869061, -0.04192601451604815, -0.0017759496794399932, 0.6355557207722485]","[91873.49740791756, 63.507780636922014, 0.6932579691440652, 0.28655533257926313, -0.042057100668330794, -0.0016271652662868488, 0.6361126582916895]",1.58203,25.0,1800.0,4000.0,0.007732863106489039
"[88565.74305422124, 21.299270527843998, 0.7976332093888128, -0.06431333875779854, 0.0818712550587541, 0.007385973878690002, 0.6260078340256533]","[88611.74376128752, 21.299270527843998, 0.7992254285061452, -0.06799023860548115, 0.08389938568828285, 0.007723791133938634, 0.6261896225978258]",1.60156,25.0,1800.0,4000.0,0.007828326811084462
